ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
2888099,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,1,Bourke Street Mall (North),63
2888100,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,3,Melbourne Central,301
2888101,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,15,State Library,83
2888102,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,9,Southern Cross Station,15
2888103,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,10,Victoria Point,10
2888104,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,12,New Quay,4
2888105,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,11,Waterfront City,0
2888106,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,8,Webb Bridge,7
2888107,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,7,Birrarung Marr,2
2888108,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,5,Princes Bridge,111
2888109,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,6,Flinders Street Station Underpass,195
2888110,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,14,Sandridge Bridge,7
2888111,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,26,QV Market-Elizabeth St (West),110
2888112,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,24,Spencer St-Collins St (North),91
2888113,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,23,Spencer St-Collins St (South),23
2888114,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,25,Melbourne Convention Exhibition Centre,97
2888115,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,21,Bourke St-Russell St (West),282
2888116,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,20,Chinatown-Lt Bourke St (South),117
2888117,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,19,Chinatown-Swanston St (North),92
2888118,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,22,Flinders St-Elizabeth St (East),342
2888119,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,27,QV Market-Peel St,15
2888120,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,28,The Arts Centre,51
2888121,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,31,Lygon St (West),17
2888122,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,30,Lonsdale St (South),346
2888123,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,34,Flinders St-Spark La,4
2888124,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,39,Alfred Place,32
2888125,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,37,Lygon St (East),10
2888126,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,40,Lonsdale St-Spring St (West),18
2888127,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,36,Queen St (West),153
2888128,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,29,St Kilda Rd-Alexandra Gardens,14
2888129,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,42,Grattan St-Swanston St (West),87
2888130,11/02/2019 02:00:00 AM,2019,November,2,Saturday,2,43,Monash Rd-Swanston St (West),8
